"id","region","city","area","NO2","PM2.5","PM10","incomePerCapita","healthExpenditure","density"
"09","Toscana","Firenze",22987.4371,41.205698005698,11.6730769230769,18.3741794310722,20.64,1252,162.2469257
"09","Toscana","Firenze",22987.4371,43.1856733524355,12.9358974358974,19.3362255965293,20.64,1252,162.2469257
"09","Toscana","Firenze",22987.4371,40.0367688022284,12.90625,21.5771812080537,20.64,1252,162.2469257
"09","Toscana","Firenze",22987.4371,35.9980694980695,11.2393617021277,18.4692307692308,20.64,1252,162.2469257
"09","Toscana","Livorno",22987.4371,21.9683615819209,9.16239316239316,18.8011695906433,20.64,1252,162.2469257
"09","Toscana","Livorno",22987.4371,22.5218130311615,10.5330396475771,19.2064896755162,20.64,1252,162.2469257
"09","Toscana","Livorno",22987.4371,23.0896253602305,10.5807860262009,19.0405797101449,20.64,1252,162.2469257
"09","Toscana","Livorno",22987.4371,23.222962962963,9.15025906735751,18.6061643835616,20.64,1252,162.2469257
"09","Toscana","Massa",22987.4371,19.7691666666667,10.7155172413793,19.2155172413793,20.64,1252,162.2469257
"09","Toscana","Massa",22987.4371,20.3591666666667,12.7310924369748,20.2352941176471,20.64,1252,162.2469257
"09","Toscana","Massa",22987.4371,20.5550847457627,12.6293103448276,20.6724137931034,20.64,1252,162.2469257
"09","Toscana","Massa",22987.4371,17.4362637362637,9.3298969072165,16.4845360824742,20.64,1252,162.2469257
"09","Toscana","Pisa",22987.4371,26.1853556485356,11.673640167364,20.5271966527197,20.64,1252,162.2469257
"09","Toscana","Pisa",22987.4371,26.8340336134454,14.0466101694915,22.4831932773109,20.64,1252,162.2469257
"09","Toscana","Pisa",22987.4371,24.4716666666667,12.863829787234,20.9957264957265,20.64,1252,162.2469257
"09","Toscana","Pisa",22987.4371,24.0961111111111,10.7371134020619,19.5463917525773,20.64,1252,162.2469257
"09","Toscana","Prato",22987.4371,29.5915254237288,11.5304347826087,19.6391304347826,20.64,1252,162.2469257
"09","Toscana","Prato",22987.4371,32.9436974789916,13.8403361344538,20.8403361344538,20.64,1252,162.2469257
"09","Toscana","Prato",22987.4371,29.51589958159,13.8127659574468,21.8553191489362,20.64,1252,162.2469257
"09","Toscana","Prato",22987.4371,26.0653631284916,10.8526315789474,18.4263157894737,20.64,1252,162.2469257
"09","Toscana","Viareggio",22987.4371,25.0256198347107,11.4833333333333,23.0166666666667,20.64,1252,162.2469257
"09","Toscana","Viareggio",22987.4371,27.1491071428571,15.0847457627119,25.6864406779661,20.64,1252,162.2469257
"09","Toscana","Viareggio",22987.4371,21.9831932773109,12.304347826087,20.7565217391304,20.64,1252,162.2469257
"09","Toscana","Viareggio",22987.4371,22.3370786516854,12.1111111111111,21.1666666666667,20.64,1252,162.2469257
"10","Umbria","Perugia",8464.2234,21.6324022346369,10.8515151515152,19.8947368421053,18.35,1402,104.205071
"10","Umbria","Perugia",8464.2234,25.3419540229885,12.7105263157895,19.7720797720798,18.35,1402,104.205071
"10","Umbria","Perugia",8464.2234,22.06472303207,12.0218068535826,19.6327683615819,18.35,1402,104.205071
"10","Umbria","Perugia",8464.2234,17.075,12.52,18.1253623188406,18.35,1402,104.205071
"10","Umbria","Terni",8464.2234,20.7366391184573,16.6901408450704,24.8467966573816,18.35,1402,104.205071
"10","Umbria","Terni",8464.2234,21.6785515320334,20.6857142857143,30.1260504201681,18.35,1402,104.205071
"10","Umbria","Terni",8464.2234,16.5338888888889,18.7875,28.4887005649718,18.35,1402,104.205071
"10","Umbria","Terni",8464.2234,21.4477477477477,15.31246105919,23.125786163522,18.35,1402,104.205071
"02","Valle d'Aosta",NA,3260.8546,NA,NA,NA,21.9,1448,38.5377502
"05","Veneto","Padova",18345.3694,34.7392561983471,24.5490196078431,29.4458874458874,20.67,1054,267.416474
"05","Veneto","Padova",18345.3694,36.7539748953975,30.5217391304348,37.3004291845494,20.67,1054,267.416474
"05","Veneto","Padova",18345.3694,33.6504166666667,25.8534482758621,33.957805907173,20.67,1054,267.416474
"05","Veneto","Padova",18345.3694,33.6363636363636,NA,33.16,20.67,1054,267.416474
"05","Veneto","Treviso",18345.3694,36.0232067510549,17.3189655172414,29.4871794871795,20.67,1054,267.416474
"05","Veneto","Treviso",18345.3694,34.1436974789916,25.2672413793103,35.0168776371308,20.67,1054,267.416474
"05","Veneto","Treviso",18345.3694,29.88375,19.5663716814159,29.7552742616034,20.67,1054,267.416474
"05","Veneto","Treviso",18345.3694,28.74,18.8901098901099,29.9690721649485,20.67,1054,267.416474
"05","Veneto","Venezia",18345.3694,34.2264462809917,19.3636363636364,27.0082987551867,20.67,1054,267.416474
"05","Veneto","Venezia",18345.3694,35.71875,25.3,34.4208333333333,20.67,1054,267.416474
"05","Veneto","Venezia",18345.3694,30.878813559322,21.8151260504202,29.3138075313808,20.67,1054,267.416474
"05","Veneto","Venezia",18345.3694,31.9430051813472,NA,30.3676975945017,20.67,1054,267.416474
"05","Veneto","Verona",18345.3694,25.1913223140496,16.8347107438017,23.2875,20.67,1054,267.416474
"05","Veneto","Verona",18345.3694,28.9163090128755,23.1834862385321,29,20.67,1054,267.416474
"05","Veneto","Verona",18345.3694,27.0770833333333,19.9666666666667,29.4705882352941,20.67,1054,267.416474
"05","Veneto","Verona",18345.3694,26.8484210526316,NA,33.4606741573034,20.67,1054,267.416474
"05","Veneto","Vicenza",18345.3694,30.6838842975207,20.3416666666667,30.9075630252101,20.67,1054,267.416474
"05","Veneto","Vicenza",18345.3694,35.6641666666667,27.3697478991597,38.0338983050847,20.67,1054,267.416474
"05","Veneto","Vicenza",18345.3694,31.3792134831461,23.3013100436681,31.38,20.67,1054,267.416474
